monitoring_period,monitoring_start_year,area,area_code,survey_effort_km,survey_segments,survey_days,mean_beaufort,sighting_count_all,off_effort_sightings,fishing_boat_assoc,on_effort_sightings,on_dolphin_count,on_mean_herd_size,encounter_rate_per_100_km,dolphin_rate_per_100_km
2012-13,2012,DEEP BAY,DB,108.5,20,5,2.7,4.0,2.0,0.0,2.0,4.0,2.0,1.8433179723502304,3.686635944700461
2012-13,2012,LAMMA,LM,448.56,28,5,1.9642857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-13,2012,NE LANTAU,NEL,937.7,132,31,2.553030303030303,29.0,14.0,2.0,15.0,46.0,3.066666666666667,1.5996587394689132,4.9056201343713335
2012-13,2012,NINEPINS,NP,197.4,11,4,2.090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-13,2012,NW LANTAU,NWL,1193.14,187,43,2.6844919786096257,108.0,24.0,4.0,84.0,271.0,3.2261904761904763,7.040246743885881,22.71317699515564
2012-13,2012,PO TOI,PT,397.0,24,5,2.2083333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-13,2012,SE LANTAU,SEL,419.29,63,16,2.4603174603174605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-13,2012,SW LANTAU,SWL,618.27,91,21,2.6043956043956045,29.0,9.0,2.0,20.0,42.0,2.1,3.2348326782797163,6.7931486243874035
2012-13,2012,W LANTAU,WL,720.92,140,37,2.557142857142857,176.0,46.0,8.0,130.0,416.0,3.2,18.032514009876273,57.704044831604065
2013-14,2013,DEEP BAY,DB,221.08,43,10,2.0,11.0,0.0,0.0,11.0,44.0,4.0,4.975574452686811,19.902297810747243
2013-14,2013,LAMMA,LM,525.49,40,7,1.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-14,2013,NE LANTAU,NEL,655.89,91,24,2.120879120879121,6.0,1.0,0.0,5.0,14.0,2.8,0.7623229504947476,2.134504261385293
2013-14,2013,NINEPINS,NP,304.82,21,6,2.4761904761904763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-14,2013,NW LANTAU,NWL,959.77,153,38,2.3333333333333335,54.0,13.0,5.0,41.0,130.0,3.1707317073170733,4.271856799024767,13.544911801785844
2013-14,2013,PO TOI,PT,427.8,32,6,2.78125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-14,2013,SE LANTAU,SEL,522.98,81,21,2.234567901234568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-14,2013,SW LANTAU,SWL,692.43,107,22,2.383177570093458,66.0,18.0,4.0,48.0,130.0,2.7083333333333335,6.932108660803259,18.77446095634216
2013-14,2013,W LANTAU,WL,687.79,135,43,2.511111111111111,180.0,39.0,9.0,141.0,469.0,3.326241134751773,20.500443449308655,68.18941828174297
2014-15,2014,DEEP BAY,DB,296.71,74,16,2.72972972972973,8.0,0.0,0.0,8.0,41.0,5.125,2.6962353813487923,13.818206329412558
2014-15,2014,LAMMA,LM,576.17,37,8,2.1621621621621623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-15,2014,NE LANTAU,NEL,465.92,72,19,2.4166666666666665,2.0,1.0,0.0,1.0,3.0,3.0,0.21462912087912087,0.6438873626373626
2014-15,2014,NINEPINS,NP,250.36,26,7,2.1153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-15,2014,NW LANTAU,NWL,831.6,124,29,2.7419354838709675,27.0,4.0,0.0,23.0,67.0,2.9130434782608696,2.7657527657527656,8.056758056758056
2014-15,2014,PO TOI,PT,320.71,22,5,2.227272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-15,2014,SE LANTAU,SEL,554.13,86,22,2.2093023255813953,3.0,2.0,1.0,1.0,1.0,1.0,0.1804630682330861,0.1804630682330861
2014-15,2014,SAI KUNG,SK,98.8,7,2,1.8571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-15,2014,SW LANTAU,SWL,689.34,126,30,2.4285714285714284,71.0,34.0,5.0,37.0,159.0,4.297297297297297,5.367452925987176,23.065540952215162
2014-15,2014,W LANTAU,WL,542.1,109,39,2.5871559633027523,147.0,27.0,6.0,120.0,529.0,4.408333333333333,22.136137244050914,97.5834716841911
2015-16,2015,DEEP BAY,DB,313.2,68,16,2.735294117647059,2.0,0.0,0.0,2.0,4.0,2.0,0.6385696040868455,1.277139208173691
2015-16,2015,LAMMA,LM,588.4,38,7,1.9210526315789473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-16,2015,NE LANTAU,NEL,494.98,69,18,2.217391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-16,2015,NINEPINS,NP,220.69,23,7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-16,2015,NW LANTAU,NWL,734.1800000000001,102,25,2.588235294117647,20.0,2.0,0.0,18.0,61.0,3.388888888888889,2.451714838323027,8.308589174316925
2015-16,2015,PO TOI,PT,569.63,42,9,2.142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-16,2015,SE LANTAU,SEL,569.97,80,22,2.3125,3.0,2.0,0.0,1.0,3.0,3.0,0.17544783058757477,0.5263434917627243
2015-16,2015,SAI KUNG,SK,101.03999999999999,7,2,1.8571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-16,2015,SW LANTAU,SWL,984.06,156,37,2.4551282051282053,79.0,24.0,3.0,55.0,213.0,3.8727272727272726,5.58909009613235,21.645021645021647
2015-16,2015,W LANTAU,WL,697.32,129,40,2.705426356589147,146.0,20.0,5.0,126.0,480.0,3.8095238095238093,18.069179143004646,68.83496816382721
2016-17,2016,DEEP BAY,DB,282.65999999999997,51,14,2.4705882352941178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
