"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Deep Bay","DM1","2016-01-11","1","Surface Water","2.8","1.6","20","68","5.6","8100","11000","0.66","0.31","0.2","7.8","6.4","18.6","1.5","3","25","19.4","2.57","3.1","4.07","0.33","15.1","0.03","4.7"
"Deep Bay","DM1","2016-02-03","1","Surface Water","6","2.6","1.7","41","3.6","360000","560000","1.1","0.67","0.22","7","2","20.6","1","8.7","15","15.3","4.37","5.2","6.97","0.44","11.9","0.006","6.6"
"Deep Bay","DM1","2016-03-16","1","Surface Water","3.5","1.4","9.9","52","4.7","6800","8400","1.4","0.32","0.18","7.2","3.9","16","1","7.8","26","15.8","3.12","2.5","4.22","0.26","20","0.006","4.8"
"Deep Bay","DM1","2016-04-13","1","Surface Water","5","3.6","2","24","2","210000","250000","0.34","0.1","0.2","7","5.1","5","1.2","11","66","22.5","4.04","4.8","5.24","0.34","36","0.017","9.1"
"Deep Bay","DM1","2016-05-12","1","Surface Water","1.3","1.3","1.1","48","3.6","1600","4800","0.63","0.17","0.33","6.9","2.9","7.6","1.5","10","23","27.4","2.1","2.1","2.9","0.33","16.7","0.007","3.8"
"Deep Bay","DM1","2016-06-03","1","Surface Water","6.1","1.9","3.6","47","3.4","6100","12000","0.38","0.76","0.41","7.1","5.8","4","1.2","14","150","31.4","3.04","4.2","5.34","0.47","64.8","0.021","17"
"Deep Bay","DM1","2016-07-13","1","Surface Water","11","2.4","3.7","24","1.9","550000","1100000","0.045","0.35","0.19","6.6","9.1","0.2","1","14","86","28","2.8","6.2","6.6","0.79","108.2","0.007","13"
"Deep Bay","DM1","2016-08-03","1","Surface Water","1.6","1.8","4.8","76","5.9","8600","17000","0.47","0.26","0.19","7","4.7","4.8","1.5","8","29","27.5","2.53","3.1","3.83","0.29","25.3","0.012","3.7"
"Deep Bay","DM1","2016-09-01","1","Surface Water","1.9","0.73","4.1","83","5.8","530","1100","0.57","0.25","0.24","7.1","3.4","15.3","1.4","8.4","25","29.6","1.55","1.4","2.22","0.43","28.5","0.007","3.4"
"Deep Bay","DM1","2016-10-08","1","Surface Water","5","2.8","16","94","7","58000","95000","1.1","0.58","0.34","6.8","5.5","6.6","1.7","21","21","29.3","4.48","5.1","6.78","0.47","17.8","0.014","5.4"
