"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Deep Bay","DM1","2013-01-09","1","Surface Water","11","3.4","130","105","9.1","25000","46000","1.4","0.63","0.17","7.8","15","16.8","0.9","3.7","70","17.3","5.43","4.9","6.93","0.42","49.2","0.07","17"
"Deep Bay","DM1","2013-02-02","1","Surface Water","5.2","4.7","7.5","28","2.3","14000","16000","0.52","0.27","0.27","7","9.2","16.5","1","6.2","200","20.8","5.49","6.4","7.19","0.7","123.1","0.02","29"
"Deep Bay","DM1","2013-03-18","1","Surface Water","2.3","0.51","9.3","71","5.4","450","770","1.2","0.14","0.13","7.2","15","21.1","0.1","4.1","44","22.8","1.85","1.1","2.44","0.25","30.6","0.003","9.2"
"Deep Bay","DM1","2013-04-12","1","Surface Water","2.3","1.3","1","53","4.4","3700","5100","0.91","0.23","0.15","7.1","1.9","17","0.2","5.4","30","19.4","2.44","2.1","3.24","0.22","24.7","0.006","8.7"
"Deep Bay","DM1","2013-05-15","1","Surface Water","2","0.94","2.6","74","5.4","120","280","1.1","0.25","0.2","7.4","2.6","15.3","1","8.3","25","27.8","2.29","1.3","2.65","0.26","21","0.016","5.1"
"Deep Bay","DM1","2013-06-24","1","Surface Water","3.6","4.6","2.5","19","1.5","220000","560000","0.16","0.089","0.29","7","3.4","3.7","0.5","11","39","27.6","4.85","6.1","6.35","0.53","51.8","0.033","7.8"
"Deep Bay","DM1","2013-07-11","1","Surface Water","1.5","0.85","2.5","59","4.2","200","450","1","0.39","0.27","7.6","3.9","7.3","0.5","10","17","31","2.24","1.4","2.79","0.3","20.2","0.025","2.5"
"Deep Bay","DM1","2013-08-07","1","Surface Water","2","1.1","6.5","64","4.5","720","2100","0.64","0.37","0.22","7.3","2.7","10.8","1","8.6","21","31.1","2.11","1.8","2.81","0.28","15.4","0.019","3.3"
"Deep Bay","DM1","2013-09-05","1","Surface Water","2","2.7","2.6","47","3.7","29000","88000","0.47","0.16","0.16","7.3","2.5","6","0.5","9.2","20","26.9","3.33","3.1","3.73","0.23","22.6","0.034","3.5"
"Deep Bay","DM1","2013-10-07","1","Surface Water","4.3","1.4","4.1","61","4.4","850","2900","0.76","0.41","0.23","7.6","6","18.3","1.3","8","95","26.9","2.57","1.8","2.97","0.36","71.7","0.029","11"
"Deep Bay","DM1","2013-11-06","1","Surface Water","2.5","1.4","5.2","55","4.2","3300","5300","1.1","0.41","0.23","7.6","5.7","19.4","1","6","35","23.9","2.91","1.8","3.31","0.29","55.2","0.026","5.5"
"Deep Bay","DM1","2013-12-11","1","Surface Water","4.8","7.3","5.3","30","2.5","180000","270000","1.7","0.85","0.37","7","5","12.6","0.6","13","19","20","9.85","8.3","10.85","0.44","18.9","0.029","4.1"
"Deep Bay","DM2","2013-01-09","1","Surface Water","11","1.3","200","172","14.5","1700","2400","1.1","0.41","0.034","8.1","31","23.4","1","1.4","46","16.8","2.81","2.3","3.81","0.22","31.9","0.045","14"
"Deep Bay","DM2","2013-02-02","1","Surface Water","4.1","2.4","11","41","3.3","1100","1300","0.6","0.28","0.15","7.2","10","20.9","1","3.6","100","20.9","3.28","3.5","4.38","0.38","93.7","0.015","13"
