"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Deep Bay","DM1","2014-01-02","1","Surface Water","6.3","3.4","1.7","42","3.7","11000","17000","0.82","0.52","0.17","7.1","3.7","20.6","1.5","6.9","84","15.8","4.74","3.9","5.24","0.39","32.5","0.011","10"
"Deep Bay","DM1","2014-02-19","1","Surface Water","6.7","2.7","8.2","65","5.9","1300","2000","2.5","0.54","0.19","7.4","10","18.8","1","6.6","83","14.3","5.74","3.6","6.64","0.28","43.2","0.016","12"
"Deep Bay","DM1","2014-03-19","1","Surface Water","2","1.1","3.1","50","3.9","2300","3100","1.3","0.17","0.13","7.2","5","24.4","1","5.3","57","20.4","2.57","1.5","2.97","0.22","48.2","0.006","6.5"
"Deep Bay","DM1","2014-04-02","1","Surface Water","4.1","1.7","3.4","29","2.4","9300","13000","1","0.17","0.11","7.4","3.3","12.5","0.7","6","60","21.3","2.87","2.5","3.67","0.18","41.2","0.017","8.4"
"Deep Bay","DM1","2014-05-02","1","Surface Water","2.3","1.4","3","60","4.5","220","430","0.95","0.25","0.19","7.4","1","17.4","1.5","7.1","37","25.3","2.6","2.2","3.4","0.26","25.1","0.022","5.1"
"Deep Bay","DM1","2014-06-04","1","Surface Water","1.9","2.9","4.4","37","2.7","260","67000","0.54","0.56","0.32","7.3","9.9","4.5","1.5","10","33","30.6","4","3.8","4.9","0.43","37.2","0.049","5.6"
"Deep Bay","DM1","2014-07-11","1","Surface Water","2.6","2.6","12","37","2.6","4500","9900","0.52","0.29","0.3","7.2","8.4","6.8","1.2","11","23","32.1","3.41","2.9","3.71","0.37","22.5","0.037","4.7"
"Deep Bay","DM1","2014-08-08","1","Surface Water","2.8","4.5","8.2","18","1.3","140000","250000","0.38","0.42","0.3","7.3","9.9","3.5","1.5","12","95","30.9","5.3","6","6.8","0.5","34.1","0.076","14"
"Deep Bay","DM1","2014-09-10","1","Surface Water","1.6","0.93","4","52","3.5","72","150","0.95","0.48","0.19","7.3","1","15.8","1.5","7.7","17","31.1","2.36","1","2.43","0.23","13.8","0.015","1.6"
"Deep Bay","DM1","2014-10-23","1","Surface Water","2.8","0.93","17","52","3.7","290","820","1.2","0.3","0.19","7.7","5.4","21.8","1.5","5.5","15","27.1","2.43","1.7","3.2","0.24","15.1","0.028","2.8"
"Deep Bay","DM1","2014-11-07","1","Surface Water","2","1.2","5.4","56","4.3","350","560","1.3","0.41","0.23","7.4","2.9","19.1","1.5","7.6","27","23.8","2.91","1.6","3.31","0.31","28.2","0.014","3.4"
"Deep Bay","DM1","2014-12-06","1","Surface Water","1.7","1.6","6.6","73","6.1","410","690","0.91","0.29","0.24","7.5","2.2","20.8","1.7","4.7","23","18.1","2.8","2.6","3.8","0.3","12.6","0.014","3.8"
"Deep Bay","DM2","2014-01-02","1","Surface Water","3.5","2","5.5","50","4.3","2100","4400","0.78","0.36","0.18","7.3","4","24.3","1","5.4","37","15.4","3.14","2.2","3.34","0.24","29.6","0.01","4.9"
"Deep Bay","DM2","2014-02-19","1","Surface Water","6.7","1.1","31","77","6.8","140","270","1.8","0.16","0.13","7.6","28","24.3","1","3.8","41","14.5","3.06","1.8","3.76","0.24","30.7","0.009","8.1"
"Deep Bay","DM2","2014-03-19","1","Surface Water","1.7","0.71","2.1","57","4.4","2400","4800","1.2","0.1","0.12","7.3","4.6","25.8","1","4.6","27","20.3","2.01","1.1","2.4","0.17","23.6","0.005","3.8"
"Deep Bay","DM2","2014-04-02","1","Surface Water","2.5","1.5","1.8","42","3.4","1900","7300","1.1","0.16","0.11","7.5","2","13.3","0.7","5.5","31","21.3","2.76","2.2","3.46","0.18","19.5","0.019","3.9"
