"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Deep Bay","DM1","2012-01-14","1","Surface Water","2.9","3.8","1.4","45","3.9","6200","7000","1.3","0.6","0.32","6.9","4.8","18.9","0.7","6.7","51","16.2","5.7","5.1","7","0.46","29.4","0.01","7.6"
"Deep Bay","DM1","2012-02-10","1","Surface Water","1.5","1.6","2","78","6.8","250","290","1.6","0.5","0.24","7.2","2.2","23.1","1.1","3.4","16","15.3","3.7","1.9","4","0.29","13.1","0.006","2.6"
"Deep Bay","DM1","2012-03-12","1","Surface Water","3.4","1.5","1","68","5.8","360","610","1","0.3","0.21","7","5.9","22.8","0.7","4.3","73","16.1","2.8","2.1","3.4","0.33","39.6","0.004","9"
"Deep Bay","DM1","2012-04-25","1","Surface Water","2","1.3","3.1","91","6.8","400","610","1.3","0.34","0.22","7.2","2","14.1","0.8","7.5","27","25.9","2.94","1.8","3.44","0.27","21.6","0.012","3.6"
"Deep Bay","DM1","2012-05-10","1","Surface Water","1.9","1.7","3.6","84","6","220","520","1.3","0.5","0.25","7.2","1.2","8.6","0.5","8.5","15","30.7","3.5","2.1","3.9","0.3","14.7","0.02","2.5"
"Deep Bay","DM1","2012-06-07","1","Surface Water","0.6","0.84","2.1","75","5.2","61","120","1.1","0.31","0.19","7.1","1.2","16.6","0.9","5","21","29.8","2.25","1.2","2.61","0.23","18.6","0.008","2.9"
"Deep Bay","DM1","2012-07-12","1","Surface Water","4.8","5.6","27","33","2.5","56000","91000","0.84","0.77","0.37","6.9","9.6","0.7","0.6","17","45","31.3","7.21","9.8","11.41","0.62","27.5","0.038","11"
"Deep Bay","DM1","2012-08-02","1","Surface Water","1.2","1.4","5.3","48","3.4","3300","6500","0.97","0.37","0.2","7.2","1.4","8.7","0.5","12","11","31.4","2.74","1.5","2.84","0.25","28.4","0.018","2.1"
"Deep Bay","DM1","2012-09-03","1","Surface Water","1.9","0.97","2.4","59","4.1","140","500","1","0.57","0.22","7.3","2.1","14.2","1.1","7.7","31","30.6","2.54","1.4","2.97","0.27","34.3","0.016","4"
"Deep Bay","DM1","2012-10-05","1","Surface Water","2.3","0.99","1.7","63","4.5","290","690","1.4","0.45","0.25","7.4","1.1","18.7","1.2","7.5","68","27.1","2.84","1.5","3.35","0.36","70.6","0.013","12"
