"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Deep Bay","DM1","2022-01-22","1","Surface Water","0.4","0.48","2.2","113","9.2","470","920","1.8","0.12","0.13","7.1","5.3","18.8","0.9","4","51","19.7","2.4","1.1","3.02","0.37","28.3","0.002","6.3"
"Deep Bay","DM1","2022-02-18","1","Surface Water","1.2","0.49","2.1","76","6.3","420","840","1.7","0.42","0.018","7.1","3.7","23.3","1.1","1.9","33","17.9","2.61","0.72","2.84","0.41","24.4","0.002","2.5"
"Deep Bay","DM1","2022-04-09","1","Surface Water","0.9","0.24","4.1","88","6.8","43","96","0.84","0.1","0.093","7.3","2.6","17.9","1","5.4","7","23.5","1.18","0.46","1.4","0.16","9.9","0.002","1"
"Deep Bay","DM1","2022-05-20","1","Surface Water","<0.1","0.63","2.4","83","6.3","450","750","1.2","0.17","0.1","7.5","2.2","11.8","1.2","7.9","19","26.2","2","0.84","2.21","0.19","18","0.011","2.5"
"Deep Bay","DM1","2022-06-13","1","Surface Water","3.1","1.2","45","63","4.9","3700","6900","1.1","0.17","0.12","7.5","13","0.5","1.1","8.9","40","28","2.47","2.1","3.37","0.29","46.7","0.024","6.5"
"Deep Bay","DM1","2022-07-15","1","Surface Water","3.6","0.088","14","123","8.7","31","88","0.95","0.094","0.12","8.5","29","5.8","1","4.4","25","32.4","1.13","0.8","1.84","0.22","20.2","0.019","4.3"
"Deep Bay","DM1","2022-08-12","1","Surface Water","1.2","1.2","3.5","88","6.5","4900","24000","0.95","0.14","0.14","7","3.7","9.8","1","8.4","9.4","27.8","2.29","1.4","2.49","0.18","12.7","0.008","1.6"
"Deep Bay","DM1","2022-09-14","1","Surface Water","1.7","0.28","9.7","86","5.8","120","440","0.86","0.13","0.14","7","12","17.8","1.1","1.7","58","31.2","1.27","0.62","1.61","0.32","288.5","0.003","7.4"
"Deep Bay","DM1","2022-10-13","1","Surface Water","0.9","0.33","6.4","87","6.6","600","1500","1.4","0.19","0.18","7.5","5.3","17.5","0.9","7.6","31","24.6","1.92","0.77","2.36","0.29","274.1","0.005","3.9"
"Deep Bay","DM1","2022-11-09","1","Surface Water","6","0.56","4.3","65","5","2100","6700","1.2","0.12","0.13","7.1","3.2","21.1","1.4","6.3","19","22.8","1.88","0.77","2.09","0.22","204.8","0.003","2.4"
"Deep Bay","DM1","2022-12-08","1","Surface Water","0.8","0.42","2.7","65","5.3","1400","2200","1.2","0.12","0.15","7.5","3.4","19.1","1.6","6.6","11","19.2","1.74","0.68","2","0.23","17","0.004","1.4"
"Deep Bay","DM2","2022-01-22","1","Surface Water","0.4","0.28","2.2","67","5.4","100","350","1.3","0.088","0.12","7.2","4.5","24","1.1","3.2","53","19.4","1.67","0.87","2.26","0.23","31.3","0.002","7"
"Deep Bay","DM2","2022-02-18","1","Surface Water","1.1","0.2","2.6","81","6.6","29","45","2.3","0.2","0.014","7.2","4","25.8","1.3","1.9","25","18","2.7","0.37","2.87","0.35","19.7","<0.001","3"
"Deep Bay","DM2","2022-04-09","1","Surface Water","0.8","0.12","9.2","86","6.6","3","9","0.51","0.067","0.071","7.4","3.9","18.5","1.1","4.9","4.7","23.6","0.7","0.37","0.95","0.13","9.4","0.001","1.1"
"Deep Bay","DM2","2022-05-20","1","Surface Water","1.2","0.46","3.9","83","6.2","160","200","1.2","0.11","0.089","7.6","1.4","13.7","1.4","6.2","15","26.1","1.77","0.65","1.96","0.15","18.8","0.011","4.7"
"Deep Bay","DM2","2022-06-13","1","Surface Water","2.7","1.4","33","69","5.4","10000","18000","1.3","0.19","0.12","7.6","14","0.4","0.9","11","65","28.3","2.89","2.1","3.59","0.32","56.6","0.043","11"
"Deep Bay","DM2","2022-07-15","1","Surface Water","2.5","0.05","9.5","111","7.8","45","130","1.1","0.086","0.096","8.3","14","6.9","1.1","5.6","18","32.1","1.24","0.63","1.82","0.17","21","0.008","2.8"
