"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Deep Bay","DM1","2018-01-03","1","Surface Water","2.2","0.57","6.9","72","5.8","490","790","1.9","0.22","0.13","7.3","8.6","23.3","1.8","4.7","98","19.1","2.69","0.93","3.05","0.28","54.1","0.004","14"
"Deep Bay","DM1","2018-02-22","1","Surface Water","2.3","0.51","2.5","65","5.3","190","340","2.1","0.13","0.12","7","6.4","22","1.1","5.8","49","18.8","2.74","0.89","3.12","0.24","25.7","0.002","7"
"Deep Bay","DM1","2018-03-01","1","Surface Water","2.4","0.64","5.7","60","4.7","1600","2500","2.4","0.15","0.14","6.9","4.4","18.6","1","5.7","28","22.1","3.19","1.1","3.65","0.24","24.2","0.003","3.3"
"Deep Bay","DM1","2018-04-11","1","Surface Water","3.3","0.45","7.3","112","8.5","390","770","1.9","0.093","0.1","7.1","6.7","16.6","1","3.8","26","24.4","2.44","0.86","2.85","0.18","33.7","0.003","19"
"Deep Bay","DM1","2018-05-09","1","Surface Water","4","0.016","9","20","1.5","200000","600000","1.2","0.32","0.19","6.9","4.4","7","1.5","5.5","34","26.7","1.54","4","5.52","0.36","29.9","<0.001","9"
"Deep Bay","DM1","2018-06-15","1","Surface Water","1.9","1.3","4.6","42","3.1","3500","7500","0.57","0.59","0.24","6.9","3.7","8.3","1","9","21","28.9","2.46","1.8","2.96","0.26","14.9","0.008","3"
"Deep Bay","DM1","2018-07-04","1","Surface Water","4","1.9","3.7","55","4.1","8700","17000","1.1","1","0.32","7.2","7.8","3.2","1.2","18","59","29.6","4","2.7","4.8","0.34","43.5","0.026","9"
"Deep Bay","DM1","2018-08-01","1","Surface Water","2.4","0.4","2.2","49","3.4","210","360","0.79","0.95","0.21","7.1","3.1","10.5","1.5","11","28","31.6","2.14","0.83","2.57","0.33","22.1","0.005","4.3"
"Deep Bay","DM1","2018-09-10","1","Surface Water","1.9","1","2.6","58","4.3","1100","1800","1","0.61","0.099","7.1","3.5","9.1","1.2","11","22","28.8","2.61","1.6","3.21","0.21","13.4","0.01","3.4"
"Deep Bay","DM1","2018-10-08","1","Surface Water","2","0.46","5.6","50","3.5","480","980","1.6","0.42","0.16","7.5","4.4","15.7","1","9","28","28.7","2.48","1.4","3.42","0.23","12.9","0.009","5.7"
"Deep Bay","DM1","2018-11-07","1","Surface Water","0.8","0.43","1.9","66","4.8","49","110","1.6","0.14","0.16","7.5","2.5","21.5","1","5.7","29","25.8","2.17","0.59","2.33","0.2","12.8","0.006","5.9"
"Deep Bay","DM1","2018-12-08","1","Surface Water","1.6","0.47","1.6","60","4.8","440","880","2","0.18","0.22","7.4","3.8","18","1","8.6","57","20.8","2.65","1","3.18","0.3","38.2","0.004","6.1"
"Deep Bay","DM2","2018-01-03","1","Surface Water","2.3","0.31","15","89","7.1","250","430","1.5","0.12","0.1","7.6","5.5","25.3","1.6","3","44","19.4","1.93","0.58","2.2","0.18","22.6","0.004","6.8"
"Deep Bay","DM2","2018-02-22","1","Surface Water","2.1","0.36","3","64","5.2","150","180","1.8","0.094","0.11","7","5.3","23.4","1.1","4.7","68","19","2.25","0.68","2.57","0.22","30.3","0.001","11"
"Deep Bay","DM2","2018-03-01","1","Surface Water","1.8","0.25","4.5","73","5.7","150","310","1.8","0.066","0.1","7","3.9","22.8","1","4.3","22","21.1","2.12","0.7","2.57","0.18","18.8","<0.001","3"
"Deep Bay","DM2","2018-04-11","1","Surface Water","3.2","0.21","9.1","88","6.5","78","160","1.5","0.065","0.077","7.6","8.9","20.1","1","3.5","18","24.3","1.78","0.68","2.25","0.18","28.3","0.004","4.5"
"Deep Bay","DM2","2018-05-09","1","Surface Water","2.2","0.75","6.5","99","7.5","7900","31000","1.4","0.18","0.14","7.3","5.8","9.7","1.5","2","29","27","2.33","1.3","2.88","0.23","20.8","0.009","8.1"
"Deep Bay","DM2","2018-06-15","1","Surface Water","1.6","0.75","4.2","40","2.9","2000","3600","0.82","0.55","0.19","6.9","3","10.9","0.9","7.2","23","28.4","2.12","1.2","2.57","0.2","13","0.004","3.1"
"Deep Bay","DM2","2018-07-04","1","Surface Water","4.2","0.96","2","66","4.9","7200","15000","1.1","1","0.25","7.3","8.1","4.8","1.3","17","92","29.7","3.06","1.8","3.9","0.36","66.2","0.015","12"
"Deep Bay","DM2","2018-08-01","1","Surface Water","2.4","0.3","2.7","47","3.3","110","190","0.71","0.89","0.17","7.2","4.2","11.3","1.5","11","27","31.3","1.9","0.64","2.24","0.31","23.7","0.004","4.3"
"Deep Bay","DM2","2018-09-10","1","Surface Water","2.1","0.59","1.6","68","4.9","930","2000","1","0.55","0.08","7.2","1.2","12","1.1","11","30","28.6","2.14","1.1","2.65","0.2","17.5","0.006","4.2"
"Deep Bay","DM2","2018-10-08","1","Surface Water","2.7","0.54","7.8","52","3.7","660","2100","1.7","0.39","0.16","7.4","5.9","17.3","1","8.8","39","27.6","2.63","0.91","3","0.24","43.2","0.01","10"
"Deep Bay","DM2","2018-11-07","1","Surface Water","0.9","0.36","2.8","71","5.1","18","67","1.5","0.12","0.15","7.5","2","22.3","1","5.5","26","25.9","1.98","0.57","2.19","0.19","12.2","0.005","4.8"
"Deep Bay","DM2","2018-12-08","1","Surface Water","1.4","0.32","1.6","60","4.7","140","280","1.7","0.14","0.2","7.3","3.1","20","1","7.4","46","21.6","2.16","0.8","2.64","0.26","22.1","0.003","5.1"
"Deep Bay","DM3","2018-01-03","1","Surface Water","1","0.17","5.7","98","7.7","24","42","0.92","0.076","0.064","7.7","3.7","27.8","1.5","2.3","16","19.2","1.17","0.2","1.2","0.08","8.6","0.003","5.5"
"Deep Bay","DM3","2018-02-22","1","Surface Water","0.8","0.15","1.4","78","6.2","3","7","0.75","0.038","0.066","7.2","2.3","27.9","1.4","2.1","17","18.7","0.94","0.32","1.11","0.08","6.7","<0.001","2.6"
"Deep Bay","DM3","2018-03-01","1","Surface Water","0.8","0.15","1.7","74","5.7","1","6","0.96","0.035","0.064","7.2","2.8","26.5","1","2.5","8.6","20.6","1.15","0.33","1.33","0.1","7.5","<0.001","1.2"
"Deep Bay","DM3","2018-04-11","1","Surface Water","3.4","0.098","7","87","6.2","3","5","0.85","0.045","0.038","7.6","5.3","24","1.5","2.3","9.2","25.2","0.99","0.4","1.3","0.09","21.9","0.002","2.2"
"Deep Bay","DM3","2018-05-09","1","Surface Water","1.2","0.22","5.2","93","6.7","370","900","1.3","0.11","0.045","7.6","3.6","18","2","1","16","27.3","1.63","0.54","1.95","0.09","7","0.005","4"
"Deep Bay","DM3","2018-06-15","1","Surface Water","1","0.22","1.8","60","4.2","100","430","0.81","0.48","0.091","7.1","0.7","14.8","1.4","4.5","20","29","1.51","0.39","1.68","0.1","6.9","0.002","4.2"
