"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Deep Bay","DM3","2017-06-07","1","Surface Water","0.6","0.17","4.8","92","6.2","<1","3","1.2","0.11","0.12","7.7","2.1","14.3","1.5","6.3","6.6","31.6","1.48","0.34","1.65","0.16","6.4","0.007","2.2"
"Deep Bay","DM3","2017-07-10","1","Surface Water","1","0.23","2.1","79","5.9","470","990","1.4","0.3","0.1","7.2","4.6","7","1.5","9.8","15","28.6","1.93","0.46","2.16","0.15","13.3","0.003","2.8"
"Deep Bay","DM3","2017-08-11","1","Surface Water","1.2","0.07","9.8","82","5.7","30","66","0.93","0.4","0.086","7.6","1.8","12.5","1.5","2.7","17","30.9","1.4","0.3","1.63","0.13","10.9","0.002","2.8"
"Deep Bay","DM3","2017-09-08","1","Surface Water","1.9","0.19","2.1","52","3.7","130","500","0.83","0.4","0.1","7.1","<0.2","14.5","1.2","7","14","28.7","1.42","0.39","1.62","0.15","9.2","0.002","1.4"
"Deep Bay","DM3","2017-10-06","1","Surface Water","0.5","0.11","1.9","75","5.1","<1","2","0.69","0.19","0.094","7.5","1.3","20.1","1.5","4.5","8","30.2","0.99","0.27","1.15","0.11","7.5","0.002","1.3"
"Deep Bay","DM3","2017-11-06","1","Surface Water","<0.1","0.11","2.5","86","6.2","73","140","0.43","0.071","0.084","7.6","2.3","28.6","1.5","1.1","13","23.7","0.61","0.57","1.07","0.12","14.4","0.002","1.8"
"Deep Bay","DM3","2017-12-04","1","Surface Water","1.2","0.23","4","82","6","1","4","0.58","0.077","0.097","7.5","1.2","29.2","1.5","2.2","9.8","22.3","0.89","0.6","1.26","0.12","5.2","0.003","1.2"
"Deep Bay","DM4","2017-01-07","1","Surface Water","1.3","0.26","4.8","102","7.8","2","2","0.66","0.067","0.048","7.8","2.8","25.5","2","0.99","4.6","21.6","0.99","0.49","1.22","0.13","3.1","0.005","1.1"
"Deep Bay","DM4","2017-01-07","1","Bottom Water","0.9","0.23","3.6","102","7.8","<1","1","0.68","0.061","0.056","7.8","2.8","25.7","2","1","6.4","21.4","0.97","0.46","1.2","0.11","4","0.005","1.2"
"Deep Bay","DM4","2017-02-01","1","Surface Water","0.4","0.24","0.6","81","6.3","130","140","0.48","0.044","0.028","7.8","0.3","27.2","1.5","1.8","9.4","19.7","0.76","0.41","0.93","0.06","7.2","0.005","1.1"
"Deep Bay","DM4","2017-02-01","1","Bottom Water","0.6","0.22","0.8","82","6.4","130","270","0.45","0.041","0.02","7.8","0.6","27.3","1.5","1.7","14","19.6","0.71","0.43","0.92","0.06","8","0.004","1.4"
"Deep Bay","DM4","2017-03-06","1","Surface Water","0.6","0.24","2.9","94","7.4","15","24","0.64","0.054","0.046","7.8","1","25.7","2","2.6","3.7","19.9","0.93","0.42","1.11","0.11","3.8","0.005","0.8"
"Deep Bay","DM4","2017-03-06","1","Bottom Water","0.4","0.22","2.6","86","6.8","18","39","0.62","0.051","0.047","7.8","1.4","25.9","2","2.6","7.5","19.5","0.89","0.4","1.07","0.12","3","0.004","1.4"
"Deep Bay","DM4","2017-04-08","1","Surface Water","1.9","0.13","22","104","8","45","72","1.2","0.085","0.021","7.8","4.2","20.3","2.4","3.5","18","22.5","1.42","0.34","1.63","0.04","12.3","0.003","5.1"
"Deep Bay","DM4","2017-04-08","1","Bottom Water","1.5","0.16","18","104","8","69","100","1.1","0.076","0.021","7.8","3.4","22","2.4","3.5","20","22.1","1.34","0.38","1.56","0.06","7.5","0.004","4.7"
"Deep Bay","DM4","2017-05-10","1","Surface Water","2.1","0.13","6.9","99","7.2","90","320","1.2","0.075","0.033","8","2.8","17.9","1.5","3.8","4","26.8","1.41","0.43","1.71","0.07","3.2","0.007","1.4"
"Deep Bay","DM4","2017-05-10","1","Bottom Water","1.8","0.12","6.1","88","6.3","53","170","1.2","0.074","0.034","7.9","3.1","19.1","1.5","3.5","4.8","26.4","1.39","0.36","1.63","0.05","4.3","0.005","1.2"
"Deep Bay","DM4","2017-06-07","1","Surface Water","0.8","0.16","1.6","87","6","3","9","1.3","0.1","0.087","7.6","0.5","14.1","1.5","6.4","9.5","30.9","1.56","0.35","1.75","0.15","7.2","0.006","2.3"
"Deep Bay","DM4","2017-06-07","1","Bottom Water","0.4","0.13","1","85","5.9","18","40","1.3","0.074","0.062","7.6","<0.2","14.8","1.5","6","11","30.1","1.5","0.28","1.65","0.14","7.1","0.004","2.5"
"Deep Bay","DM4","2017-07-10","1","Surface Water","0.6","0.12","2.5","86","6.4","260","600","1.4","0.13","0.051","7.4","1.3","7.8","2","8.6","7.2","28.2","1.65","0.34","1.87","0.08","8.5","0.002","1.7"
"Deep Bay","DM4","2017-07-10","1","Bottom Water","0.7","0.12","2.8","61","4.5","370","940","1.4","0.13","0.05","7.3","1.4","8.4","2","8.3","7.2","27.9","1.65","0.31","1.84","0.08","6.8","0.002","1.8"
"Deep Bay","DM4","2017-08-11","1","Surface Water","0.8","0.01","1.5","79","5.5","41","70","0.94","0.32","0.041","7.7","<0.2","13.6","1.5","7","6.4","30.4","1.27","0.16","1.42","0.08","6.8","0","1.4"
"Deep Bay","DM4","2017-08-11","1","Bottom Water","0.7","0.008","1.2","75","5.2","68","170","0.91","0.33","0.049","7.6","<0.2","14.6","1.5","7","12","30","1.25","0.17","1.41","0.09","7.4","0","2.4"
"Deep Bay","DM4","2017-09-08","1","Surface Water","1","0.13","1.1","53","3.8","550","1800","0.84","0.41","0.071","7.2","<0.2","15.4","1.5","6.9","8.8","28.7","1.38","0.28","1.53","0.17","6.2","0.001","1.4"
"Deep Bay","DM4","2017-09-08","1","Bottom Water","1.2","0.021","0.9","51","3.6","390","1100","0.75","0.35","0.047","7.2","0.7","15.6","1.5","5.7","11","28.8","1.12","0.14","1.24","0.14","8.2","0","1.2"
"Deep Bay","DM4","2017-10-06","1","Surface Water","1.1","0.073","2.5","77","5.2","11","17","0.64","0.18","0.069","7.5","<0.2","21","1.5","4.1","5.6","30.2","0.89","0.23","1.05","0.09","7.4","0.002","0.9"
"Deep Bay","DM4","2017-10-06","1","Bottom Water","0.9","0.077","1.3","74","4.9","77","130","0.56","0.19","0.064","7.5","1.2","21.4","1.5","3.8","7.7","30.1","0.83","0.19","0.94","0.07","8.7","0.002","1"
"Deep Bay","DM4","2017-11-06","1","Surface Water","0.9","0.08","1.9","82","5.7","290","630","0.22","0.06","0.033","7.7","1.2","30.6","2","1","12","25","0.36","0.56","0.84","0.05","10.3","0.002","1.9"
"Deep Bay","DM4","2017-11-06","1","Bottom Water","0.5","0.073","1.5","83","5.8","260","520","0.23","0.056","0.038","7.7","0.9","30.7","2","0.96","8.7","24.7","0.36","1.1","1.39","0.05","8","0.002","1.1"
"Deep Bay","DM4","2017-12-04","1","Surface Water","1","0.15","2.1","83","6.1","26","45","0.47","0.067","0.065","7.6","1.1","30.4","1.6","1.8","5.5","22.4","0.69","0.61","1.15","0.07","7.6","0.002","0.8"
"Deep Bay","DM4","2017-12-04","1","Bottom Water","0.8","0.14","2.2","84","6.1","100","170","0.42","0.065","0.054","7.7","1.5","30.8","1.6","1.7","10","22.3","0.63","0.55","1.04","0.07","7.2","0.002","1.2"
"Deep Bay","DM5","2017-01-07","1","Surface Water","1.5","0.27","3.3","102","8","660","1000","0.82","0.067","0.028","7.9","0.3","23.7","2","2.7","4.1","20.9","1.16","0.47","1.36","0.09","2.5","0.008","1.4"
"Deep Bay","DM5","2017-01-07","1","Middle Water","1.3","0.25","3.8","99","7.6","500","960","0.66","0.055","0.023","7.9","1.9","25.2","2","1.7","4.3","20.8","0.97","0.47","1.19","0.06","3.1","0.007","1.2"
"Deep Bay","DM5","2017-01-07","1","Bottom Water","1.2","0.16","9","98","7.5","1500","3400","0.38","0.033","0.022","7.9","1.6","26.7","2","0.76","4.5","20.7","0.57","0.36","0.77","0.12","2.1","0.005","1.4"
"Deep Bay","DM5","2017-02-01","1","Surface Water","0.6","0.21","0.5","80","6.2","1000","1700","0.38","0.036","0.02","7.9","0.4","28","2","1.5","6.2","19.5","0.63","0.42","0.84","0.05","5.1","0.005","0.8"
"Deep Bay","DM5","2017-02-01","1","Middle Water","0.6","0.2","0.9","82","6.4","1100","3800","0.34","0.035","0.015","7.9","0.4","28.4","2","1.4","10","19.4","0.58","0.45","0.83","0.06","6.8","0.004","1.2"
"Deep Bay","DM5","2017-02-01","1","Bottom Water","0.6","0.19","1.2","84","6.5","2200","3800","0.33","0.035","0.018","7.9","0.7","28.5","2","1.4","14","19.4","0.56","0.38","0.75","0.07","8.9","0.004","1.4"
"Deep Bay","DM5","2017-03-06","1","Surface Water","0.4","0.25","2.6","85","6.8","1000","1700","0.57","0.05","0.039","7.8","0.9","25.3","2.5","2.5","1.9","18.8","0.87","0.43","1.05","0.14","2.5","0.005","0.6"
"Deep Bay","DM5","2017-03-06","1","Middle Water","0.2","0.21","1.7","89","7","3200","8900","0.5","0.047","0.035","7.9","0.6","29","2.5","2.3","3.2","18.4","0.76","0.41","0.96","0.13","2.2","0.004","0.9"
"Deep Bay","DM5","2017-03-06","1","Bottom Water","0.3","0.18","1.2","89","7","1200","3200","0.32","0.029","0.032","7.9","<0.2","29.5","2.5","1.7","5.3","18.2","0.53","0.44","0.79","0.05","3.6","0.004","1"
"Deep Bay","DM5","2017-04-08","1","Surface Water","1.2","0.19","2.9","79","6.2","29","44","1.2","0.09","0.03","7.7","1.5","19.7","2.3","4.2","7.8","21.8","1.48","0.38","1.67","0.05","5.7","0.004","1.8"
"Deep Bay","DM5","2017-04-08","1","Middle Water","1.1","0.17","8","95","7.3","23","40","1.1","0.082","0.015","7.8","2.5","21.7","2.3","3.6","13","22.1","1.35","0.37","1.55","0.05","2.4","0.004","3.1"
"Deep Bay","DM5","2017-04-08","1","Bottom Water","1.1","0.15","7.2","92","7","170","310","0.9","0.065","0.011","7.8","2.3","24.7","2.3","2.9","11","21.5","1.12","0.37","1.34","0.05","2.4","0.003","2.7"
"Deep Bay","DM5","2017-05-10","1","Surface Water","1.3","0.12","3","84","6.2","150","280","1.4","0.08","0.031","7.9","2.8","16.4","1.9","4.5","2.5","26.3","1.6","0.38","1.86","0.05","2.3","0.005","1"
"Deep Bay","DM5","2017-05-10","1","Middle Water","1.6","0.13","5.3","95","6.9","250","490","1.1","0.069","0.031","7.9","3.5","18.9","1.9","3.1","4.4","26.6","1.3","0.33","1.5","0.05","2.9","0.006","1.2"
"Deep Bay","DM5","2017-05-10","1","Bottom Water","1.2","0.14","2.6","82","5.9","920","2800","0.88","0.059","0.031","7.9","1.6","21.5","1.9","3.4","5","25.9","1.08","0.38","1.32","0.1","3.3","0.006","1.1"
"Deep Bay","DM5","2017-06-07","1","Surface Water","1.9","0.084","12","102","7.2","15","57","1.4","0.08","0.047","7.9","2.8","12.9","1.5","5.8","4.3","30.3","1.56","0.32","1.8","0.09","3.6","0.005","2.2"
"Deep Bay","DM5","2017-06-07","1","Middle Water","1.3","0.087","8.2","109","7.6","47","210","1.4","0.075","0.044","7.9","2.5","14.3","1.5","5.5","4.1","30.3","1.56","0.3","1.78","0.11","3.7","0.005","2"
"Deep Bay","DM5","2017-06-07","1","Bottom Water","1.1","0.13","4.1","96","6.7","130","390","1.3","0.076","0.056","7.8","1.9","15.6","1.5","5.9","4.1","30","1.51","0.28","1.66","0.09","4.1","0.007","1.5"
"Deep Bay","DM5","2017-07-10","1","Surface Water","0.7","0.083","2.6","76","5.7","60","220","1.4","0.11","0.042","7.4","0.4","8.1","2.5","8.7","8.9","28.5","1.59","0.35","1.86","0.06","6.9","0.001","2"
"Deep Bay","DM5","2017-07-10","1","Middle Water","0.9","0.09","2.9","54","4","200","570","1.3","0.12","0.043","7.4","0.3","10.8","2.5","7.7","5.8","27.5","1.51","0.24","1.66","0.06","3","0.001","1.2"
"Deep Bay","DM5","2017-07-10","1","Bottom Water","0.8","0.1","2.4","49","3.5","690","1700","1.1","0.12","0.042","7.4","0.9","17.6","2.5","6.8","14","26.8","1.32","0.33","1.55","0.07","12.8","0.002","2.6"
"Deep Bay","DM5","2017-08-11","1","Surface Water","0.8","0.007","1","74","5.1","17","75","0.83","0.27","0.038","7.7","0.8","17","2","6.3","5.8","30.3","1.11","0.14","1.24","0.07","14.6","0","1"
"Deep Bay","DM5","2017-08-11","1","Middle Water","0.8","<0.005","0.7","73","5","73","140","0.8","0.26","0.034","7.7","0.5","18.6","2","6.2","5.3","29.4","1.07","0.13","1.19","0.07","3.9","0","1"
"Deep Bay","DM5","2017-08-11","1","Bottom Water","0.6","0.008","1.3","63","4.3","160","320","0.74","0.24","0.037","7.7","<0.2","20.9","2","5.6","5.5","28.9","0.99","0.16","1.14","0.07","17.9","0","0.9"
"Deep Bay","DM5","2017-09-08","1","Surface Water","1.1","0.054","1.9","85","5.9","430","1000","0.78","0.33","0.055","7.3","0.5","17.4","1.5","5.6","12","29.2","1.16","0.21","1.32","0.1","9","0.001","1.2"
"Deep Bay","DM5","2017-09-08","1","Middle Water","1.1","0.14","1","63","4.4","250","610","0.85","0.38","0.068","7.4","0.8","18.5","1.5","6.3","8.8","28.5","1.37","0.3","1.53","0.16","6.9","0.002","0.6"
"Deep Bay","DM5","2017-09-08","1","Bottom Water","1","0.022","0.9","63","4.4","480","950","0.77","0.36","0.048","7.4","<0.2","20","1.5","5.8","9.1","28.4","1.15","0.11","1.24","0.09","8.1","0","1"
"Deep Bay","DM5","2017-10-06","1","Surface Water","0.7","0.064","1","78","5.1","120","220","0.44","0.14","0.04","7.7","0.8","24","2","3.5","7.3","30.4","0.64","0.21","0.79","0.05","6.4","0.002","1"
"Deep Bay","DM5","2017-10-06","1","Middle Water","0.8","0.056","1","77","5.1","160","220","0.42","0.15","0.04","7.7","1","24","2","3.1","8","30.4","0.63","0.19","0.76","0.12","6.1","0.002","1.1"
"Deep Bay","DM5","2017-10-06","1","Bottom Water","1.1","0.07","1.1","77","5.1","250","370","0.4","0.14","0.039","7.7","1","24.3","2","3.2","6.8","30.2","0.61","0.19","0.73","0.05","6.1","0.002","0.9"
"Deep Bay","DM5","2017-11-06","1","Surface Water","0.9","0.062","2.2","93","6.5","1200","2300","0.15","0.048","0.026","7.8","0.9","31.4","2.5","1","6.3","24.7","0.26","0.76","0.96","0.04","6.6","0.002","1"
"Deep Bay","DM5","2017-11-06","1","Middle Water","0.5","0.064","1.2","77","5.4","1700","3000","0.15","0.049","0.026","7.8","0.6","31.7","2.5","0.98","8.4","24.8","0.26","0.78","0.98","0.04","8","0.002","1.4"
"Deep Bay","DM5","2017-11-06","1","Bottom Water","0.9","0.049","1.9","86","5.9","1600","5300","0.11","0.043","0.024","7.8","1.6","32.3","2.5","1","13","24.9","0.2","1.1","1.25","0.03","14","0.001","1.7"
"Deep Bay","DM5","2017-12-04","1","Surface Water","0.9","0.094","1.1","87","6.2","960","1300","0.26","0.05","0.031","7.8","0.7","31.7","2","1.9","14","22.5","0.4","0.86","1.17","0.05","7.5","0.002","2"
"Deep Bay","DM5","2017-12-04","1","Middle Water","0.8","0.088","0.9","87","6.3","1500","2500","0.24","0.048","0.031","7.8","0.8","32","2","1.9","13","22.3","0.38","0.53","0.82","0.05","8.8","0.002","1.3"
"Deep Bay","DM5","2017-12-04","1","Bottom Water","0.7","0.09","1.1","87","6.3","900","2500","0.23","0.05","0.029","7.8","0.8","32.1","2","1.9","15","22.3","0.37","0.4","0.68","0.04","10.5","0.002","1.5"
"Eastern Buffer","EM1","2017-01-09","1","Surface Water","0.8","0.12","2.6","60","4.5","9","21","0.12","0.021","0.021","8.1","1.4","30.5","4","0.3","1.7","20.3","0.26","0.3","0.44","0.04","0.6","0.005","0.6"
"Eastern Buffer","EM1","2017-01-09","1","Middle Water","0.7","0.089","3.1","97","7.3","18","37","0.1","0.019","0.018","8.1","1","30.6","4","0.3","1.3","20.3","0.21","0.28","0.4","0.04","0.5","0.004","0.6"
"Eastern Buffer","EM1","2017-01-09","1","Bottom Water","0.9","0.091","2.1","98","7.4","50","97","0.098","0.019","0.019","8.1","2","30.7","4","0.32","1","20.2","0.21","0.19","0.31","0.03","0.4","0.004","<0.5"
"Eastern Buffer","EM1","2017-02-10","1","Surface Water","0.3","0.018","1.1","85","6.8","86","130","0.18","0.023","0.02","8","<0.2","30.9","3","1.5","7.3","17.1","0.22","0.2","0.4","0.03","6.9","0","1"
"Eastern Buffer","EM1","2017-02-10","1","Middle Water","0.3","0.019","0.6","94","7.5","120","200","0.17","0.023","0.02","8","0.4","31","3","1.5","9.4","17.2","0.21","0.37","0.56","0.05","1","0","1.6"
"Eastern Buffer","EM1","2017-02-10","1","Bottom Water","0.5","0.015","0.6","97","7.7","59","83","0.18","0.022","0.018","8","0.2","31","3","1.5","7.3","17.2","0.22","0.22","0.42","0.05","1.1","0","1"
"Eastern Buffer","EM1","2017-03-08","1","Surface Water","0.2","0.049","1.5","98","7.7","11","15","0.047","0.005","0.014","7.8","<0.2","32.3","6","0.6","1.7","18.1","0.1","0.34","0.39","0.02","2.2","0.001","1.1"
"Eastern Buffer","EM1","2017-03-08","1","Middle Water","0.4","0.047","0.5","101","7.9","13","15","0.049","0.004","0.012","7.8","<0.2","32.3","6","0.59","0.7","18.1","0.1","0.3","0.35","0.02","2.3","0.001","0.6"
"Eastern Buffer","EM1","2017-03-08","1","Bottom Water","<0.1","0.034","0.8","103","8","2","4","0.037","0.004","0.01","7.8","0.7","32.3","6","0.58","0.6","18.1","0.08","0.26","0.3","<0.02","2.1","0.001","<0.5"
"Eastern Buffer","EM1","2017-04-01","1","Surface Water","0.4","0.051","0.9","93","7.1","4","8","0.05","0.006","0.015","8.1","<0.2","32.5","4.5","0.66","0.7","19.1","0.11","0.28","0.34","0.03","1","0.002","<0.5"
"Eastern Buffer","EM1","2017-04-01","1","Middle Water","0.4","0.06","1.1","96","7.3","2","5","0.054","0.005","0.016","8.1","0.3","32.5","4.5","0.67","<0.5","19","0.12","0.44","0.5","0.02","0.4","0.002","<0.5"
"Eastern Buffer","EM1","2017-04-01","1","Bottom Water","0.1","0.043","0.7","96","7.3","5","17","0.032","0.005","0.01","8.1","0.5","32.7","4.5","0.61","1.4","19.1","0.08","0.79","0.83","0.12","1.2","0.001","<0.5"
"Eastern Buffer","EM1","2017-05-17","1","Surface Water","0.3","0.036","1.9","92","6.2","3","7","0.067","0.011","<0.002","8.3","0.7","32","6","0.15","2.1","25.9","0.11","0.34","0.42","0.07","2.7","0.003","1.2"
"Eastern Buffer","EM1","2017-05-17","1","Middle Water","0.6","0.066","2.2","96","6.6","37","71","0.075","0.013","0.003","8.3","0.9","32.1","6","0.23","1.9","25.5","0.15","0.55","0.64","0.03","0.4","0.005","1"
"Eastern Buffer","EM1","2017-05-17","1","Bottom Water","0.4","0.084","1.6","77","5.3","40","93","0.083","0.02","<0.002","8.2","1.4","32.7","6","0.52","0.8","24.8","0.19","0.21","0.31","0.03","0.9","0.005","0.6"
"Eastern Buffer","EM1","2017-06-08","1","Surface Water","3","0.03","27","136","9","51","130","0.14","0.019","0.003","8.2","5.6","30.6","2","<0.05","8.2","27.7","0.19","0.25","0.41","0.03","10.6","0.002","1.5"
"Eastern Buffer","EM1","2017-06-08","1","Middle Water","1.6","0.025","7.9","79","5.3","50","180","0.065","0.018","0.004","8","1","33.1","2","0.15","6.8","26","0.11","0.17","0.25","0.03","1.4","0.001","3.4"
"Eastern Buffer","EM1","2017-06-08","1","Bottom Water","1","0.031","5.4","75","5.1","32","95","0.027","0.021","0.005","8","1.5","33.3","2","0.37","9.7","25.8","0.08","0.12","0.17","0.04","1.3","0.001","2.4"
"Eastern Buffer","EM1","2017-07-05","1","Surface Water","1.9","0.14","18","92","6.4","890","3000","0.44","0.048","0.008","7.8","2.4","27.3","3.4","1.2","9.4","26","0.63","0.42","0.91","0.1","2.6","0.005","3.1"
