"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Deep Bay","DM1","2017-01-07","1","Surface Water","8","5.2","29","22","1.8","240000","310000","0.1","0.4","0.41","7.1","7.9","6.8","1","12","22","23.1","5.7","9","9.5","0.75","16.9","0.031","6.8"
"Deep Bay","DM1","2017-02-01","1","Surface Water","4.9","1.2","7.8","54","4.5","4500","7800","1.8","0.34","0.15","7","6.2","17.7","1.5","7.1","110","19.2","3.34","2.1","4.24","0.38","42.7","0.005","13"
"Deep Bay","DM1","2017-03-06","1","Surface Water","4.9","2","42","87","7.1","9700","22000","1.3","0.5","0.22","7.2","9.5","17.1","1.5","7.1","30","20.5","3.8","3.5","5.3","0.35","15.5","0.013","9.8"
"Deep Bay","DM1","2017-04-08","1","Surface Water","3.7","1.5","17","53","4","1100","1500","1.3","0.34","0.23","7.1","7.5","16.3","1.7","7","22","24","3.14","2.7","4.34","0.26","17.3","0.01","4"
"Deep Bay","DM1","2017-05-10","1","Surface Water","6.6","1.4","82","115","8.5","10000","16000","0.65","0.25","0.2","7.9","15","10.3","0.3","3.4","58","27.9","2.3","3.5","4.4","0.41","31","0.074","10"
"Deep Bay","DM1","2017-06-07","1","Surface Water","3.4","1.6","4.1","58","4.1","3100","8000","0.87","0.41","0.33","7.2","3.7","9","1","11","26","31.3","2.88","2.7","3.98","0.44","18","0.024","6.6"
"Deep Bay","DM1","2017-07-10","1","Surface Water","1.8","2.1","8.8","68","5","2600","6000","0.52","0.42","0.23","7","7.3","3.2","1","12","22","30.1","3.04","2.9","3.84","0.35","17.9","0.018","4.5"
"Deep Bay","DM1","2017-08-11","1","Surface Water","4.8","1.1","19","65","4.6","780","1400","0.63","0.63","0.16","7.2","5.4","8.2","1.5","4.2","45","31.1","2.36","1.7","2.96","0.29","21","0.015","6.4"
"Deep Bay","DM1","2017-09-08","1","Surface Water","3","1.3","1.3","31","2.3","3000","8200","0.56","0.5","0.22","6.8","3.6","8.7","1.5","9.8","36","29.6","2.36","1.7","2.76","0.41","19.2","0.007","4"
"Deep Bay","DM1","2017-10-06","1","Surface Water","1.8","0.88","5.6","60","4.2","670","1900","0.68","0.46","0.27","7.2","3.4","13.4","1.5","7.8","24","30.2","2.02","1.4","2.54","0.32","16.2","0.01","3.2"
"Deep Bay","DM1","2017-11-06","1","Surface Water","2","0.58","11","97","7.3","330","880","1.1","0.31","0.19","7.4","9.5","22.9","1.5","3.2","60","22.9","1.99","0.78","2.19","0.21","28","0.007","6.3"
"Deep Bay","DM1","2017-12-04","1","Surface Water","3.5","1.3","7.2","60","4.6","3200","5800","1.4","0.4","0.2","7.2","6.8","21.7","1","6","69","22.2","3.1","1.6","3.4","0.35","48.1","0.008","8"
"Deep Bay","DM2","2017-01-07","1","Surface Water","4.6","2.7","22","52","4.2","15000","24000","0.48","0.38","0.23","7.3","7.7","13.1","1","6.6","31","22.5","3.56","4.8","5.66","0.44","17.5","0.023","6.2"
"Deep Bay","DM2","2017-02-01","1","Surface Water","2.4","0.78","9","62","5.1","630","920","1.2","0.2","0.16","7.3","5","22.2","1","4.9","44","19.2","2.18","1.2","2.6","0.26","40.2","0.005","5.4"
"Deep Bay","DM2","2017-03-06","1","Surface Water","3","0.81","20","85","6.8","620","970","1.1","0.24","0.13","7.6","6.1","17.9","1.5","4.6","34","20.7","2.15","1.3","2.64","0.26","13.4","0.012","5.2"
"Deep Bay","DM2","2017-04-08","1","Surface Water","5.3","1.4","25","74","5.6","700","1200","1.4","0.25","0.19","7.2","8.1","16.9","1.5","6.6","31","24.3","3.05","1.9","3.55","0.24","18.4","0.012","6.7"
"Deep Bay","DM2","2017-05-10","1","Surface Water","5.8","0.55","100","105","7.6","1300","4400","0.73","0.2","0.13","8","24","14.5","0.3","1.4","40","27.6","1.48","1.7","2.63","0.28","22.7","0.037","8.7"
"Deep Bay","DM2","2017-06-07","1","Surface Water","3.9","1.3","7","70","4.9","230","630","0.81","0.47","0.34","7.5","5.7","10.8","1","10","25","31.9","2.58","2.4","3.68","0.44","14.6","0.035","6"
"Deep Bay","DM2","2017-07-10","1","Surface Water","2","2","10","89","6.6","4000","7200","0.53","0.39","0.23","7.2","7.1","3.3","1","11","19","30.4","2.92","2.8","3.72","0.33","16.7","0.027","4"
"Deep Bay","DM2","2017-08-11","1","Surface Water","2.6","0.88","12","57","4.1","490","850","0.65","0.7","0.18","7.3","5.4","8.7","1.5","5.9","32","30.9","2.23","1.5","2.85","0.27","18.2","0.017","4.5"
"Deep Bay","DM2","2017-09-08","1","Surface Water","2.7","1.2","2.9","35","2.6","1800","4700","0.54","0.51","0.21","6.9","1","9.6","1","9.8","24","29.3","2.25","1.4","2.45","0.26","15.7","0.007","2.8"
"Deep Bay","DM2","2017-10-06","1","Surface Water","1.6","0.57","4.6","71","4.9","100","320","0.67","0.41","0.24","7.2","2.9","14.4","1.5","7.3","11","30.1","1.65","0.98","2.06","0.27","13.5","0.008","2.1"
"Deep Bay","DM2","2017-11-06","1","Surface Water","1","0.37","13","82","6","14","22","0.82","0.16","0.15","7.5","4.5","25","1.5","2","21","23.3","1.35","0.58","1.56","0.19","17.3","0.005","3"
"Deep Bay","DM2","2017-12-04","1","Surface Water","1.9","0.66","5.6","74","5.6","210","350","1.1","0.19","0.17","7.4","3.5","25.5","1","3.9","32","22.1","1.95","0.82","2.11","0.23","18","0.006","4"
"Deep Bay","DM3","2017-01-07","1","Surface Water","1.4","0.48","5.3","94","7.2","17","26","0.77","0.12","0.1","7.7","3.1","24.3","1","0.86","8.2","21.7","1.37","0.71","1.6","0.17","4.8","0.008","2.6"
"Deep Bay","DM3","2017-02-01","1","Surface Water","1","0.28","3.3","80","6.3","14","20","0.76","0.068","0.086","7.6","3.2","25.2","1.5","3.2","12","19.7","1.11","0.55","1.38","0.14","9.2","0.003","1.8"
"Deep Bay","DM3","2017-03-06","1","Surface Water","0.9","0.36","4.2","101","8","6","16","0.78","0.088","0.079","7.8","4.7","24.6","2","3","5.8","20","1.23","0.61","1.48","0.13","4.4","0.007","1.2"
"Deep Bay","DM3","2017-04-08","1","Surface Water","2.2","0.085","34","96","7.2","5","8","1.2","0.08","0.021","7.9","11","21","1.6","3.1","27","23.7","1.37","0.31","1.59","0.05","14.7","0.003","6"
"Deep Bay","DM3","2017-05-10","1","Surface Water","2.3","0.081","16","125","8.9","52","180","0.9","0.086","0.049","8.2","6.1","18","0.9","1.5","13","27.7","1.07","0.52","1.51","0.11","9.3","0.008","3.2"
